Name;html;tags;imageSrc;defin;symptoms;pe;diagnosis;ddx;management;epid;patho;summary;links
Acne vulgaris;acnevulgaris.html;;;;;;;;;;;;
Actinic Keratosis;actinickeratosis.html;erythema, scaly, rough, white, yellow, red, horny, thickened, papule, plaque, sun+age, sun exposure, outdoor, non-emergent+pre-malignant, pre-cancerous;images/actinickeratosis_dermN_01.jpg;Pre-cancerous scaly/rough lesions secondary to sun-exposure, ~1/1000 risk of transformation to SCC. Very common. ;Often asymptomatic. Sometimes tender.;Ill defined, scaly/rough erythematous papules/plaques on background of sun-damaged skin. Sandpaper-like/gritty on palpation. <b> Most common on sun exposed areas</b> (face, ears, scalp if bald, neck, etc).+<b>Multiple phenotypes</b>: Erythematous: typical AK lesion. Hypertrophic: thicker, rough papule/plaque. Cutaneous horn: firm hyperkeratotic outgrowth. Actinic cheilitis: confluent AKs on the lip. Pigmented: flat, tan-brown, scaly plaque. ;Clinical. Biopsy persistent or worrisome lesions.; SCC in situ, superficial BCC, seborrheic keratosis, cutaneous lupus erythematosus;destructive: cryotherapy, electrodessication excision, and curettage (might be needed for hypertrophic/horns)+topicals (mechanism is destruction of rapidly growing cells or immune system modulation): ie 5-fluorouracil cream (for 2-4 wk)+Prevention: sunscreen, covering up;Common with increasing age, outdoor occupation, fair skin, immunosuppression, lack of sunscreen, M>F. Less common in darker skin types (melanin is protective). <b>Risk factors for transformation</b>: immunosuppression, history of skin cancer, persistence of the AK.+While rare for solitary actinic keratosis to transform (~1/1000 risk to SCC), worth noting <b> ~60% of SCC is from AK and that risk increases with persistence and # of lesions.</b>;UV radiation damage to keratinocytes from repeated sun exposure (especially UVB). Risk of transformation of AK to SCC (~1/1000), but higher likelihood if AK is persistent. ;AK is a very common pre-cancerous lesion secondary to sun-exposure more common in older patients. Diagnosis is primarily clinical, and management is aimed at destroying the pre-cancerous cells to prevent transformation into SCC, most often cyrotherapy. ;<li>https://www.aafp.org/dam/AAFP/documents/events/nc/handouts/nc17-derm2.pdf</li><li>Toronto Notes 2020</li><li>https://www.aad.org/public/diseases/skin-cancer/actinic-keratosis-symptoms</li><li>https://dermnetnz.org/topics/actinic-keratosis</li>
Atopic dermatitis;atopicdermatitis.html;;;;;;;;;;;;
Basal cell carcinoma;basalcellcarcinoma.html;;;;;;;;;;;;
Cellulitis;cellulitis.html;red, erythema, tender, unilateral, abscess, erosions+pediatric, adult, diabetes, immunocompromised+non-emergent+infection;images/cellulitis_dermN_01.jpg;Bacterial infection of lower dermis and subcutaneous tissue, localized erythematous skin. Severe complications may include sepsis / nec fasc.;Fever, malaise, chills. Development of localized tender rash.+PEARL: unilateral. If bilateral, consider other diagnoses. ;Erythematous tender lesion, not uniformly raised. Borders usually not clearly defined. May have vesicles, erosions, abscesses, or be associated with lymphangitis. ;Diagnosis is mainly clinical. Helpful investigations include:+- leukocytosis on CBC+- elevated CRP +- peripheral swab or blood cultures+- US may be useful in the ED for ?fluid collections;Eczema/dermatitis, deep vein thrombosis, drug-reaction, psoriasis, erysipelas, venous ulcers, nec fasc;1st line: cloxacillin or cefazolin (no PO)/cephalexin (Keflex, available PO)+2nd line: erythromycin or clindamycin.+Children: cefuroxime.+If DM (foot infections): TMP/SMX and metronidazole;Quite common across all demographics.  affects people of all ages and races. Risk factors include prior episodes of cellulitis, tinea pedis, venous disease, current injury (ie trauma, surgical), immunodeficiency;GAS, S. aureus (large sized wounds), H. influenzae (periorbital), Pasteurella multocida (dog/ cat bite);Cellulitis is a common infection of the lower dermal area often presenting with fever and localized usually unilateral erythematous tender lesion. Usually caused by gram positive bacteria, such as GAS and S. aureus. Diagnosis clinical, but may consider infectious BW. 1st line Abx cloxacillin / cephalexin in adults, cefuroxime pediatric.;<li>Toronto Notes 2020</li><li>https://dermnetnz.org/topics/cellulitis</li><li>https://www.hopkinsguides.com/hopkins/view/Johns_Hopkins_ABX_Guide/540106/all/Cellulitis</li><li>https://www.merckmanuals.com/en-ca/professional/dermatologic-disorders/bacterial-skin-infections/cellulitis</li>
Contact dermatitis;contactdermatitis.html;;;;;;;;;;;;
Diaper rash;diaperrash.html;;;;;;;;;;;;
Erythema infectiosum;erythemainfectiosum.html;;;;;;;;;;;;
Folliculitis;folliculitis.html;;;;;;;;;;;;
Hidradenitis suppurativa;hidradenitissuppurativa.html;;;;;;;;;;;;
